,name,Website,street address,city,state,zipcode,Type,Size,private,funding,Associates (y=1/n=0)
0,A T Still University of Health Sciences,WWW.ATSU.EDU,800 W Jefferson,Kirksville,Missouri,63501,"4-year, Private not-for-profit",3480.0,Private,not-for-profit,0
1,Abilene Christian University,www.acu.edu,1600 Campus Court,Abilene,Texas,79699,"4-year, Private not-for-profit",4669.0,Private,not-for-profit,0
2,Abraham Baldwin Agricultural College,www.abac.edu,2802 Moore Hwy,Tifton,Georgia,31793-2601,"4-year, primarily associate's, Public",3600.0,Public,not-for-profit,1
3,Academy College,www.academycollege.edu,Suite 100,Minneapolis,Minnesota,55420-1554,"4-year, primarily associate's, Private for-profit",165.0,Private,for profit,1
4,Academy for Five Element Acupuncture,www.acupuncturist.edu,305 SE 2nd Ave,Gainesville,Florida,32601,"4-year, Private not-for-profit",51.0,Private,not-for-profit,0
5,Academy of Art University,www.academyart.edu,79 New Montgomery,San Francisco,California,94105,"4-year, Private for-profit",13181.0,Private,for profit,0
6,Academy of Chinese Culture and Health Sciences,www.acchs.edu,1601 Clay St,Oakland,California,94612,"4-year, Private not-for-profit",92.0,Private,not-for-profit,0
7,Academy of Oriental Medicine,www.aoma.edu,2700 W Anderson Ln Ste 204,Austin,Texas,78757,"4-year, Private for-profit",207.0,Private,for profit,0
8,Academy of Vocal Arts,www.avaopera.org,1920 Spruce St,Philadelphia,Pennsylvania,19103-6685,"4-year, Private not-for-profit",27.0,Private,not-for-profit,0
9,Acupuncture and Integrative Medicine College-Berkeley,www.aimc.edu,2550 Shattuck Ave,Berkeley,California,94704,"4-year, Private not-for-profit",181.0,Private,not-for-profit,0
10,Acupuncture and Massage College,WWW.AMCOLLEGE.edu,10506 N Kendall Drive,Miami,Florida,33176,"4-year, primarily associate's, Private for-profit",131.0,Private,for profit,1
11,Adams State College,www.adams.edu,208 Edgemont Blvd,Alamosa,Colorado,81102,"4-year, Public",2920.0,Public,not-for-profit,0
12,Adelphi University,WWW.ADELPHI.EDU,South Ave,Garden City,York,11530-0701,"4-year, Private not-for-profit",8177.0,Private,not-for-profit,0
13,Adler Graduate School,www.alfredadler.edu,1550 East 78th Street,Richfield,Minnesota,55423,"4-year, Private not-for-profit",274.0,Private,not-for-profit,0
14,Adler School of Professional Psychology,www.adler.edu,Suite 2100,Chicago,Illinois,60601,"4-year, Private not-for-profit",639.0,Private,not-for-profit,0
15,Adrian College,www.adrian.edu,110 S Madison St,Adrian,Michigan,49221-2575,"4-year, Private not-for-profit",1469.0,Private,not-for-profit,0
16,Agnes Scott College,www.agnesscott.edu,141 E. College Ave,Decatur,Georgia,30030-3797,"4-year, Private not-for-profit",832.0,Private,not-for-profit,0
17,AI Miami International University of Art and Design,www.aimiu.aii.edu,1501 Biscayne Boulevard,Miami,Florida,33132-1418,"4-year, Private for-profit",3429.0,Private,for profit,0
18,AIB College of Business,www.aib.edu,2500 Fleur Drive,Des Moines,Iowa,50321-1799,"4-year, primarily associate's, Private not-for-profit",985.0,Private,0,1
19,Air Force Institute of Technology-Graduate School of Engineering & Management,www.afit.edu,2950 Hobson Way-Wright Patterson AFB,Dayton,Ohio,45433-7765,"4-year, Public",773.0,Public,not-for-profit,0
20,Alabama A & M University,www.aamu.edu/,4900 Meridian St,Normal,Alabama,35762,"4-year, Public",5124.0,Public,not-for-profit,0
21,Alabama State University,www.alasu.edu,915 S Jackson Street,Montgomery,Alabama,36101-0271,"4-year, Public",5695.0,Public,not-for-profit,0
22,Alaska Pacific University,www.alaskapacific.edu,4101 University Dr,Anchorage,Alaska,99508,"4-year, Private not-for-profit",803.0,Private,not-for-profit,0
23,Albany College of Pharmacy and Health Sciences,www.acp.edu,106 New Scotland Avenue,Albany,York,12208-3492,"4-year, Private not-for-profit",1525.0,Private,not-for-profit,0
24,Albany Law School,www.albanylaw.edu,80 New Scotland Avenue,Albany,York,12208,"4-year, Private not-for-profit",784.0,Private,not-for-profit,0
25,Albany Medical College,www.amc.edu,47 New Scotland Ave,Albany,York,12208-0000,"4-year, Private not-for-profit",839.0,Private,not-for-profit,0
26,Albany State University,www.asurams.edu/,504 College Dr.,Albany,Georgia,31705,"4-year, Public",4176.0,Public,not-for-profit,0
27,Albertus Magnus College,www.albertus.edu,700 Prospect St,New Haven,Connecticut,06511-1189,"4-year, Private not-for-profit",2129.0,Private,not-for-profit,0
28,Albion College,www.albion.edu,611 E Porter St,Albion,Michigan,49224,"4-year, Private not-for-profit",1860.0,Private,not-for-profit,0
29,Albright College,www.albright.edu,1621 N. 13th St.,Reading,Pennsylvania,19612-5234,"4-year, Private not-for-profit",2305.0,Private,not-for-profit,0
30,Alcorn State University,www.alcorn.edu,1000 ASU Dr Ste 359,Alcorn State,Mississippi,39096-7500,"4-year, Public",3252.0,Public,not-for-profit,0
31,Alderson Broaddus College,www.ab.edu/,101 College Hill Drive,Philippi,Virginia,26416-2035,"4-year, Private not-for-profit",738.0,Private,not-for-profit,0
32,Alfred University,www.alfred.edu,One Saxon Drive,Alfred,York,14802-1205,"4-year, Private not-for-profit",2427.0,Private,not-for-profit,0
33,Alice Lloyd College,www.alc.edu,100 Purpose Rd,Pippa Passes,Kentucky,41844,"4-year, Private not-for-profit",609.0,Private,not-for-profit,0
34,Allegheny College,www.allegheny.edu,520 N Main St,Meadville,Pennsylvania,16335-3902,"4-year, Private not-for-profit",2125.0,Private,not-for-profit,0
35,Allegheny Wesleyan College,awc.edu,2161 Woodsdale Rd,Salem,Ohio,44460-9598,"4-year, Private not-for-profit",55.0,Private,not-for-profit,0
